"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"";"Version1.0.0.";1;"";;;
2;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
3;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
4;"G***";"Logo-Front-SolderedFULL-9mm";1;"LOGO";;;
5;"G***";"Symbol-Front-USB";1;"LOGO";;;
6;",,,,,,,,";"buzzardLabel";9;"";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"K1";"HEADER_MALE_8X1";1;"HEADER_MALE_8X1";;;
9;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
10;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
